id,title,year,genre,description,difficulty,language
142,Twister,1996,Action/Adventure,Storm chasers risk their lives to track and study massive tornadoes.,easy,english
143,Independence Day,1996,Sci-Fi/Action,The world unites to fight an alien invasion on July 4th.,easy,english
144,Scream,1996,Horror/Mystery,A masked killer begins terrorizing a group of high school students.,easy,english
145,The Sixth Sense,1999,Mystery/Thriller,A boy who can see dead people is helped by a child psychologist.,easy,english
146,Fight Club,1999,Drama/Thriller,An insomniac and a soap salesman form an underground fighting club.,easy,english
147,Ocean's Eleven,2001,Crime/Heist,A group of specialists plans a massive robbery of three casinos.,easy,english
148,The Lord of the Rings,2001,Fantasy/Adventure,"A small hobbit journeys to destroy a powerful, evil ring.",easy,english
149,The Chronicles of Narnia,2005,Fantasy/Adventure,Siblings discover a magical world inside a wardrobe and help a lion.,easy,english
150,Willy Wonka,1971,Fantasy/Family,Five children win a tour of a mysterious and magical chocolate factory.,easy,english
151,The Super Mario Bros. Movie,2023,Animation/Adventure,Two Brooklyn plumbers are transported to a magical world to save a princess.,easy,english
152,Barbie,2023,Comedy/Fantasy,A doll living in a perfect world has a crisis and travels to the real world.,easy,english
153,Oppenheimer,2023,Biography/Drama,The story of the scientist who led the development of the atomic bomb.,easy,english
154,Dune,2021,Sci-Fi/Adventure,A young noble is thrust into a war for a desert planet and its precious spice.,easy,english
155,Inside Out 2,2024,Animation/Comedy,"Riley enters her teenage years, introducing new emotions like Anxiety.",easy,english
156,Despicable Me 4,2024,Animation/Comedy,Gru and his family go on the run from a new villain while raising a baby.,easy,english
157,Deadpool & Wolverine,2024,Action/Comedy,"The two iconic heroes team up for a chaotic, fourth-wall-breaking adventure.",easy,english
158,Sonic the Hedgehog,2020,Action/Adventure,A speedy blue hedgehog teams up with a sheriff to stop an evil doctor.,easy,english
159,Puss in Boots: The Last Wish,2022,Animation/Adventure,A legendary cat goes on a journey to find a star that can grant him more lives.,easy,english
160,The Batman,2022,Action/Crime,A younger Bruce Wayne investigates a series of murders in a dark Gotham City.,easy,english
161,Wonka,2023,Musical/Fantasy,The origin story of the world's most famous and eccentric chocolatier.,easy,english
162,Jungle Cruise,2021,Adventure/Comedy,A riverboat captain takes a scientist on a quest to find an ancient healing tree.,easy,english
163,Free Guy,2021,Action/Comedy,A bank teller discovers he is a background character in an open-world video game.,easy,english
164,Mortal Kombat,2021,Action/Fantasy,Fighters from Earth compete in a high-stakes tournament against the Outworld.,easy,english
165,Black Widow,2021,Action/Superhero,Natasha Romanoff confronts her past and a conspiracy before joining the Avengers.,easy,english
166,Shang-Chi,2021,Action/Fantasy,A master of martial arts must confront his father and his secret organization.,easy,english
167,Cruella,2021,Comedy/Crime,The origin story of the fashionable and rebellious villain from 101 Dalmatians.,easy,english
168,Guardians of the Galaxy,2014,Sci-Fi/Action,A group of space outlaws forms an unlikely team to save the universe.,easy,english
169,The Karate Kid,1984,Sports/Drama,A bullied teenager learns martial arts and life lessons from a wise mentor.,easy,english
170,Charlie and the Chocolate Factory,2005,Fantasy/Family,A poor boy wins a tour of a mysterious and magical candy factory.,easy,english
171,Alice in Wonderland,2010,Fantasy/Adventure,A girl returns to a whimsical world to stop an evil queen's reign.,easy,english
172,Maleficent,2014,Fantasy/Adventure,The untold story of the villain from Sleeping Beauty and her protective side.,easy,english
173,Sing,2016,Animation/Musical,A theater owner hosts a singing competition to save his business.,easy,english
174,The Secret Life of Pets,2016,Animation/Comedy,Pets go on an adventure through New York while their owners are away.,easy,english
175,Trolls,2016,Animation/Musical,"Happy, singing creatures must escape from giants who want to eat them.",easy,english
176,WALL-E,2008,Animation/Sci-Fi,A small robot on a deserted Earth falls in love and goes on a space mission.,easy,english
177,Brave,2012,Animation/Adventure,A skilled archer princess must undo a beastly curse she accidentally caused.,easy,english
178,Wreck-It Ralph,2012,Animation/Comedy,A video game villain wants to be a hero and travels to other games.,easy,english
179,The Lego Movie,2014,Animation/Comedy,An ordinary Lego figure is mistaken for a hero who can save the world.,easy,english
180,Paddington,2014,Comedy/Family,A polite bear from Peru travels to London and finds a new home.,easy,english
181,Ted,2012,Comedy/Fantasy,A man's childhood teddy bear comes to life and becomes his best friend.,easy,english
182,The Hangover,2009,Comedy,Friends wake up after a bachelor party in Vegas with no memory of the night.,easy,english
183,Pitch Perfect,2012,Musical/Comedy,A college girl joins an all-female a cappella group and revamps their style.,easy,english
184,Mamma Mia!,2008,Musical/Romance,A bride-to-be invites three of her mother's past lovers to her wedding.,easy,english
185,The Devil Wears Prada,2006,Comedy/Drama,A recent graduate gets a job as an assistant to a ruthless fashion editor.,easy,english
186,Mean Girls,2004,Comedy,A new student navigates the social hierarchy of an American high school.,easy,english
187,Clueless,1995,Comedy/Romance,A rich and popular high school girl tries to play matchmaker for others.,easy,english
188,Legally Blonde,2001,Comedy,A fashionable girl goes to Harvard Law School to win back her boyfriend.,easy,english
189,13 Going on 30,2004,Comedy/Romance,A 13-year-old girl wakes up as a 30-year-old woman after making a wish.,easy,english
190,Freaky Friday,2003,Comedy/Family,A mother and daughter swap bodies and must live each other's lives.,easy,english
191,The Parent Trap,1998,Comedy/Family,Twin sisters separated at birth meet at camp and plan to reunite their parents.,easy,english
192,Princess Diaries,2001,Comedy/Family,A shy teenager discovers she is the heir to the throne of a European kingdom.,easy,english
193,High School Musical,2006,Musical/Romance,Two students from different social groups audition for the school play.,easy,english
194,Camp Rock,2008,Musical/Romance,A talented girl attends a prestigious music camp and finds her voice.,easy,english
195,Descendants,2015,Fantasy/Musical,The children of Disney's famous villains are given a chance to be good.,easy,english
196,Hocus Pocus,1993,Fantasy/Comedy,Three witches are accidentally resurrected on Halloween night in Salem.,easy,english
197,The Nightmare Before Christmas,1993,Animation/Fantasy,The king of Halloween Town tries to take over Christmas with spooky results.,easy,english
198,Coraline,2009,Animation/Fantasy,A girl finds a door to a parallel world that looks perfect but is dangerous.,easy,english
199,The Grinch,2000,Comedy/Family,A grumpy creature living on a mountain plans to steal Christmas from a town.,easy,english
200,Elf,2003,Comedy/Family,A man raised as an elf at the North Pole travels to NYC to find his father.,easy,english
201,The Polar Express,2004,Animation/Adventure,A boy takes a magical train ride to the North Pole on Christmas Eve.,easy,english
202,Home Alone 2,1992,Comedy/Family,A boy is lost in New York City and must face the same burglars again.,easy,english
203,A Christmas Carol,2009,Animation/Drama,A miserable old man is visited by three ghosts to learn the meaning of life.,easy,english
204,Night at the Museum,2006,Comedy/Fantasy,A museum security guard discovers that the exhibits come to life at night.,easy,english
205,The Mummy,1999,Action/Adventure,Explorers accidentally awaken a cursed ancient priest in an Egyptian tomb.,easy,english
206,Men in Black 2,2002,Sci-Fi/Comedy,Agents return to stop a shapeshifting alien from finding a powerful light.,easy,english
207,Pirates of the Caribbean 2,2006,Action/Adventure,Jack Sparrow must settle a blood debt with the legendary Davy Jones.,easy,english
208,Transformers,2007,Action/Sci-Fi,Giant alien robots that can turn into vehicles fight a war on Earth.,easy,english
209,Iron Man 2,2010,Action/Superhero,Tony Stark faces a rival inventor and the government while his health fades.,easy,english
210,Thor,2011,Action/Superhero,A powerful god is banished to Earth and must prove he is worthy of his hammer.,easy,english
211,Captain America,2011,Action/Superhero,A weak soldier is transformed into a super-soldier to fight in World War II.,easy,english
212,The Amazing Spider-Man,2012,Action/Superhero,A new retelling of the hero's origin as he fights a giant lizard creature.,easy,english
213,Man of Steel,2013,Action/Superhero,A powerful alien living on Earth must defend the planet from his own people.,easy,english
214,Ant-Man,2015,Action/Superhero,A thief is given a suit that allows him to shrink in size and gain strength.,easy,english
215,Doctor Strange,2016,Action/Superhero,A surgeon learns the mystic arts after a tragic accident ruins his hands.,easy,english
216,Aquaman,2018,Action/Superhero,A man who can talk to fish must claim his throne in the underwater city.,easy,english
217,Shazam!,2019,Action/Comedy,A teenage boy can transform into an adult superhero by saying one word.,easy,english
218,The Flash,2023,Action/Superhero,A hero travels back in time to save his mother but accidentally changes reality.,easy,english
219,The Truman Show,1998,Drama/Sci-Fi,An insurance salesman discovers his whole life is a 24-hour reality TV show.,medium,english
220,The Social Network,2010,Biography/Drama,The story of how Mark Zuckerberg created Facebook and the legal battles that followed.,medium,english
221,Slumdog Millionaire,2008,Drama/Romance,A Mumbai teen reflects on his life after being accused of cheating on a game show.,medium,english
222,The Wolf of Wall Street,2013,Biography/Crime,A stockbroker's rise to enormous wealth and his eventual fall due to corruption.,medium,english
223,Eternal Sunshine of the Spotless Mind,2004,Romance/Sci-Fi,A couple undergoes a procedure to erase each other from their memories.,medium,english
224,The Grand Budapest Hotel,2014,Comedy/Adventure,A legendary concierge teams up with a lobby boy to prove his innocence in a murder.,medium,english
225,La La Land,2016,Musical/Romance,A jazz pianist and an aspiring actress fall in love while chasing their dreams in L.A.,medium,english
226,Parasite,2019,Thriller/Drama,A poor family scams their way into working for a wealthy household with dark results.,medium,english
227,Knives Out,2019,Mystery/Comedy,A detective investigates the death of a wealthy patriarch at a family gathering.,medium,english
228,Whiplash,2014,Drama/Music,"A young drummer is pushed to his limits by an abusive, perfectionist instructor.",medium,english
229,Gone Girl,2014,Mystery/Thriller,A man becomes the prime suspect after his wife suddenly disappears on their anniversary.,medium,english
230,Birdman,2014,Drama/Comedy,A washed-up actor tries to revive his career by staging a Broadway play.,medium,english
231,The Martian,2015,Sci-Fi/Adventure,An astronaut is stranded on Mars and must use his ingenuity to survive until rescue.,medium,english
232,Arrival,2016,Sci-Fi/Drama,A linguist is hired by the military to communicate with aliens who have landed on Earth.,medium,english
233,Get Out,2017,Horror/Thriller,A young man uncovers a disturbing secret when he visits his girlfriend's parents.,medium,english
234,A Quiet Place,2018,Horror/Sci-Fi,A family must live in silence to avoid being hunted by creatures with ultra-sensitive hearing.,medium,english
235,The Revenant,2015,Adventure/Drama,A frontiersman fights for survival in the wilderness after being left for dead.,medium,english
236,Black Swan,2010,Thriller/Drama,A ballerina's obsession with perfection leads her into a dark psychological spiral.,medium,english
237,Spotlight,2015,Biography/Drama,Journalists investigate a massive cover-up of child abuse within the Catholic Church.,medium,english
238,12 Years a Slave,2013,Biography/History,A free Black man is kidnapped and sold into slavery in the pre-Civil War South.,medium,english
239,The Big Short,2015,Comedy/Drama,A group of investors bets against the US housing market before the 2008 crash.,medium,english
240,The King's Speech,2010,Biography/Drama,King George VI works to overcome his stammer with the help of a speech therapist.,medium,english
241,Argo,2012,Thriller/History,A CIA agent poses as a filmmaker to rescue Americans during the Iran Hostage Crisis.,medium,english
242,Bird Box,2018,Horror/Sci-Fi,A mother and her children must travel blindfolded to avoid seeing a deadly entity.,medium,english
243,The Irishman,2019,Crime/Drama,A truck driver becomes a hitman and gets involved with a powerful union leader.,medium,english
244,Django Unchained,2012,Western/Action,A freed slave teams up with a bounty hunter to rescue his wife from a plantation.,medium,english
245,The Hateful Eight,2015,Mystery/Western,Strangers seek shelter in a stagecoach stop during a blizzard and realize no one is safe.,medium,english
246,No Country for Old Men,2007,Crime/Thriller,"A hunter finds a briefcase full of money, triggering a chase by a relentless killer.",medium,english
247,There Will Be Blood,2007,Drama,A ruthless oilman's pursuit of wealth leads to his moral and physical decline.,medium,english
248,Inglourious Basterds,2009,War/Action,Jewish-American soldiers plan to assassinate Nazi leaders in occupied France.,medium,english
249,The Departed,2006,Crime/Thriller,An undercover cop and a mole in the police try to identify each other within a gang.,medium,english
250,American Psycho,2000,Thriller/Comedy,A wealthy investment banker hides his nocturnal bloodlust from his social circle.,medium,english
251,Memento,2000,Mystery/Thriller,A man with short-term memory loss uses tattoos and notes to find his wife's killer.,medium,english
252,Donnie Darko,2001,Sci-Fi/Drama,A troubled teenager is manipulated by a giant rabbit to commit a series of crimes.,medium,english
253,The Prestige,2006,Mystery/Drama,Two rival magicians in 19th-century London engage in a dangerous game of one-upmanship.,medium,english
254,Shutter Island,2010,Mystery/Thriller,A US Marshal investigates the disappearance of a patient from a remote mental asylum.,medium,english
255,Life of Pi,2012,Adventure/Drama,A young man survives a shipwreck and shares a lifeboat with a Bengal tiger.,medium,english
256,The Great Gatsby,2013,Romance/Drama,"A writer is drawn into the lavish world of his mysterious, wealthy neighbor.",medium,english
257,Les Misérables,2012,Musical/Drama,An ex-convict seeks redemption while being hunted by a ruthless police inspector.,medium,english
258,The Theory of Everything,2014,Biography/Drama,The life and relationship of physicist Stephen Hawking and his wife Jane.,medium,english
259,The Imitation Game,2014,Biography/Thriller,A mathematician leads a team to crack the Nazi Enigma code during World War II.,medium,english
260,Ford v Ferrari,2019,Sports/Drama,American car designers build a revolutionary race car to challenge Ferrari at Le Mans.,medium,english
261,Little Miss Sunshine,2006,Comedy/Drama,A dysfunctional family travels in a van to a child beauty pageant in California.,medium,english
262,Juno,2007,Comedy/Drama,A pregnant teenager decides to give her baby up for adoption to a wealthy couple.,medium,english
263,Lady Bird,2017,Comedy/Drama,A strong-willed high school student navigates a turbulent relationship with her mother.,medium,english
264,Moonlight,2016,Drama,A young Black man grows up in Miami while struggling with his identity and sexuality.,medium,english
265,Call Me by Your Name,2017,Romance/Drama,A 17-year-old boy falls in love with his father's research assistant in Italy.,medium,english
266,The Shape of Water,2017,Fantasy/Romance,A mute janitor at a secret laboratory falls in love with an amphibious creature.,medium,english
267,Everything Everywhere All at Once,2022,Sci-Fi/Comedy,A woman is swept into a multiverse adventure to save reality using her alternate selves.,medium,english
268,Banshees of Inisherin,2022,Comedy/Drama,Two lifelong friends find themselves at an impasse when one abruptly ends their bond.,medium,english
269,Promising Young Woman,2020,Thriller/Crime,A woman traumatized by her past seeks revenge against those who cross her path.,medium,english
270,CODA,2021,Drama/Music,"As a hearing child in a deaf family, a girl must choose between her family and music.",medium,english
271,The Power of the Dog,2021,Western/Drama,"A charismatic, cruel rancher torments his brother's new wife and her son.",medium,english
272,Tár,2022,Drama/Music,The downfall of a world-renowned conductor as her past behavior catches up with her.,medium,english
273,Poor Things,2023,Sci-Fi/Comedy,A young woman is brought back to life by a scientist and goes on a journey of discovery.,medium,english
274,Babylon,2022,Drama/History,A tale of outsized ambition and excess in the early days of Hollywood.,medium,english
275,Challengers,2024,Sports/Romance,A tennis pro turned coach finds herself in the middle of a rivalry between two former friends.,medium,english
276,Civil War,2024,Action/Thriller,A group of journalists travels across a dystopian America during a second civil war.,medium,english
